category,recommended_navigation,style_priority,color_approach,typography_mood,key_patterns,anti_patterns,decision_rules
Health,Tab bar with large title screens,Clean minimal whitespace,systemGreen systemRed systemBlue semantically for vitals,Body weight Regular 17pt for readability; headline for metrics,Dashboard cards with data rings; progressive disclosure of detailed stats; large accessible targets,Cluttered dashboards; small tap targets on critical actions; alarming red overuse,Prioritize calm reassurance; use color to indicate status not decorate; large touch targets for accessibility
Finance,Tab bar with account overview as root,High contrast trustworthy density acceptable,systemGreen for positive systemRed for negative neutral grays for amounts,Headline for amounts; body for descriptions; monospaced for numbers,Transaction list with swipe actions; large numbers for balances; biometric auth entry,Hiding fees or negative amounts; confusing color coding; non-accessible number formats,Use tabular figures for alignment; green/red only for gain/loss; never red for neutral amounts
Social,Tab bar with feed as root,Vibrant media-forward high visual density,systemBlue for interactions systemPink for reactions tinted backgrounds,Body 17pt for posts; headline for usernames; caption for metadata,Infinite scroll with FlashList; pull-to-refresh; double-tap to like; story ring pattern,Chronological confusion; hidden reply actions; non-obvious interaction affordances,Image-first layout; show engagement counts; reply thread indentation capped at 2 levels
Productivity,Tab bar or sidebar on iPad split view,Dense information hierarchy subdued palette,systemBlue for actions systemGray family for structure,Headline for task titles; footnote for metadata; monospaced for code snippets,Swipe to complete; contextual menus; keyboard shortcuts on iPad; drag-and-drop reordering,Feature bloat on main screen; toolbar icon ambiguity; missing undo support,Today-focused default view; group by project or date; one primary CTA per screen
Media,Tab bar with Now Playing persistent bar,Rich dark backgrounds for playback immersion,Dynamic colors from artwork; systemBlue for controls,Large display for title; headline for artist; caption for metadata,Mini player expanding to full screen; artwork-dominant layout; swipe-to-dismiss player,Hiding playback controls; confusing queue management; no progress scrubber,Artwork background blur for player; 44pt minimum for all playback controls
Navigation/Maps,Full-screen map with floating sheet,Map-first minimal chrome,systemBlue for route systemGreen for destination systemRed for traffic,Callout for POI labels; footnote for distances; headline for destination name,Bottom sheet with detents; search bar at top; turn-by-turn overlay; recenter button,Overlapping UI on map; tiny route interaction targets; non-dismissible overlays,Map always occupies full screen; sheet slides up for details; search is always reachable
Weather,Single scrollable screen or page tabs,Gradient backgrounds reflecting conditions,Dynamic condition-based gradients; white text on colored backgrounds,Large display for temperature; body for conditions; caption for hourly,Hourly strip at top; 10-day list; condition gradient background; animated icons,Overcrowded data; competing background colors; static icons for animated conditions,One screen one location; swipe to switch locations; animate weather transitions
Camera/Photo,Full-screen viewfinder with minimal chrome,Camera-first transparent overlays,Minimal UI; white icons on dark transparent overlays; system controls,Caption for metadata; no prominent text during capture,Swipe to switch modes; tap-to-focus indicator; volume button shutter; pinch-to-zoom,Cluttered viewfinder controls; opaque toolbars blocking preview; hidden mode switching,Maximize viewfinder space; reveal controls on tap; capture action is always primary
Shopping/Commerce,Tab bar with browse and account tabs,Polished grid-first product display,systemBlue for CTA systemGreen for price drops systemRed for sale badges,Headline for product name; title2 for price; body for description,Product grid with lazy images; sticky add-to-cart button; swipe-based image carousel,Burying the buy button; cluttered product pages; non-obvious cart access,Price and primary CTA always visible without scroll; image carousel is swipeable; cart badge on tab
Gaming,Custom navigation or full-screen launcher,Bold immersive game-specific branding,Game-defined palette with system overlays for achievements and notifications,Display weight for scores; game fonts for in-game; system fonts for menus,Leaderboard sheets; achievement banners; in-app purchase sheets; haptic feedback on actions,System chrome bleeding into game view; obscuring gameplay with banners; tiny reward text,Achievement notifications use system banners; purchases use App Store sheet; gameplay is uninterrupted
Education,Tab bar or page-based navigation,Clear structured light backgrounds,systemBlue for interactive systemGreen for correct systemRed for incorrect,Body for content; headline for lesson titles; large for score display,Progress bars; streaks; lesson cards; quiz flow with immediate feedback,Wall of text without hierarchy; hidden progress; no positive reinforcement on completion,Show progress always; celebrate completion; scaffold complexity progressively
Communication,Tab bar with conversation list as root,Functional minimal system-native feel,systemBlue for sent bubbles gray fill for received systemRed for errors,Body for message text; caption for timestamps; footnote for read receipts,Bubble layout; swipe-to-reply; long-press context menu; typing indicator,Non-standard bubble colors; hidden reply actions; timestamp ambiguity,System keyboard respect; message input bar pinned to keyboard; delivery status below each bubble
Food/Delivery,Tab bar with menu browse as root,Appetite-stimulating warm rich imagery,Warm tones amber and red accents; systemGreen for available systemRed for sold out,Title1 for restaurant name; headline for item name; body for description; callout for price,Category strip; add button on card; floating cart pill; order tracking map,Hiding delivery fee until checkout; confusing modifier flow; non-obvious cart update,Cart total always visible; upsell only after primary item added; track order on same tab
Travel,Tab bar or page tabs for itinerary,Rich destination imagery with structured data,systemBlue for interactive; destination imagery dominant; systemGreen for confirmed,Large title for destination; body for details; callout for price and date,Map integration; trip timeline; booking confirmation sheet; search with date pickers,Fragmented itinerary across screens; hidden booking confirmation; confusing date selection,Single trip view as root; map tab for exploration; booking details accessible from any step
Fitness,Tab bar with today workout as primary,High energy bold typography dark workout screen,systemOrange systemYellow for energy metrics systemGreen for goals met,Display bold for metrics; headline for exercise names; body for instructions,Live workout overlay; ring or gauge for progress; swipe to next exercise; celebration on completion,Interrupting workout for notifications; tiny metric display; no milestone celebration,Minimize distractions during active workout; large readable metrics; motivational completion moment
